"X","month","year","Windspeed","Temperature","Winddirection","Rain","TempDifference"
1,1,2019,4.87096782580645,4.14838718064516,243.935483870968,1.46129032903226,-0.258064516129032
2,2,2019,4.26071434428571,6.05714300142857,180.142857142857,1.38571429214286,0.307142892857143
3,3,2019,5.98064524516129,7.90000010322581,251.516129032258,2.41290326774194,0.0387096451612903
4,4,2019,4.56333337,10.9400001666667,91.2333333333333,1.09000002,0.00333333333333332
5,5,2019,3.8225807,11.4483872903226,228.548387096774,1.00645161612903,0.196774225806452
6,6,2019,3.42333336466667,17.7200001,174.666666666667,3.79333339,0.219999966666667
7,7,2019,2.98709681419355,18.7193551290323,248.645161290323,0.92580645483871,-0.0451612903225806
8,8,2019,4.0935484483871,18.7580647096774,204.870967741935,2.23225810967742,-0.151612870967742
9,9,2019,4.02333337666667,15.3600001,212.566666666667,2.94666669,-0.0666667
10,10,2019,4.10967745483871,11.9387098387097,185.548387096774,4.73548395483871,-0.316129032258065
11,11,2019,3.91000005466667,6.67000007666667,162.866666666667,3.95000000466667,0
12,12,2019,4.8000000516129,6.02580652580645,192.967741935484,2.35161290967742,-0.032258064516129
